filename,algorithm,environment,model,seed,population_size,max_iterations,n_iterations,best_score,hidden_size,max_stagnment,tries,evaluation_score,eval_tries,time,lambda_decay,n_variables
Experiments/Results/exp4_march_ea/exp4_output_ea_LunarLander-v3_static_seed-0_time-2025-03-19_23-02-34.pkl,EA,LunarLander-v3,static,0,10,2,1,1340.262642262907,"[64, 32]",50,10,,,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_LunarLander-v3_static_seed-0_time-2025-03-19_23-02-57.pkl,EA,LunarLander-v3,static,0,10,2,1,1340.262642262907,"[64, 32]",50,10,,,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-0_time-2025-03-19_23-07-14.pkl,EA,CartPole-v1,static,0,100,1000,8,-10000.0,"[64, 32]",50,10,,,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-0_time-2025-03-19_23-10-54.pkl,EA,CartPole-v1,static,0,100,1000,8,-10000.0,"[64, 32]",50,10,-789.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-1_time-2025-03-19_23-11-21.pkl,EA,CartPole-v1,static,1,100,1000,3,-10000.0,"[64, 32]",50,10,-395.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-2_time-2025-03-19_23-13-27.pkl,EA,CartPole-v1,static,2,100,1000,6,-10000.0,"[64, 32]",50,10,-3000.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-0_time-2025-03-19_23-15-03.pkl,EA,CartPole-v1,static,0,100,1000,8,-10000.0,"[64, 32]",50,10,-789.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-1_time-2025-03-19_23-15-21.pkl,EA,CartPole-v1,static,1,100,1000,3,-10000.0,"[64, 32]",50,10,-395.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-2_time-2025-03-19_23-16-17.pkl,EA,CartPole-v1,static,2,100,1000,6,-10000.0,"[64, 32]",50,10,-3000.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-3_time-2025-03-19_23-17-09.pkl,EA,CartPole-v1,static,3,100,1000,6,-10000.0,"[64, 32]",50,10,-2007.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-4_time-2025-03-19_23-17-19.pkl,EA,CartPole-v1,static,4,100,1000,1,-10000.0,"[64, 32]",50,10,-1508.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-5_time-2025-03-19_23-18-27.pkl,EA,CartPole-v1,static,5,100,1000,8,-10000.0,"[64, 32]",50,10,-506.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-6_time-2025-03-19_23-19-52.pkl,EA,CartPole-v1,static,6,100,1000,10,-10000.0,"[64, 32]",50,10,-3000.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-7_time-2025-03-19_23-20-13.pkl,EA,CartPole-v1,static,7,100,1000,3,-10000.0,"[64, 32]",50,10,-3000.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-8_time-2025-03-19_23-20-23.pkl,EA,CartPole-v1,static,8,100,1000,1,-10000.0,"[64, 32]",50,10,-3000.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-9_time-2025-03-19_23-20-51.pkl,EA,CartPole-v1,static,9,100,1000,4,-10000.0,"[64, 32]",50,10,-2202.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-0_time-2025-03-19_23-23-53.pkl,EA,CartPole-v1,static,0,100,1000,8,-10000.0,"[64, 32]",50,10,-789.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-1_time-2025-03-19_23-24-11.pkl,EA,CartPole-v1,static,1,100,1000,3,-10000.0,"[64, 32]",50,10,-395.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-0_time-2025-03-19_23-41-38.pkl,EA,CartPole-v1,static,0,10,2,1,-17715.0,"[64, 32]",50,100,-275.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-1_time-2025-03-19_23-41-44.pkl,EA,CartPole-v1,static,1,10,2,1,-14497.0,"[64, 32]",50,100,-282.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-0_time-2025-03-19_23-42-03.pkl,EA,CartPole-v1,static,0,10,2,1,-17715.0,"[64, 32]",50,100,-275.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-1_time-2025-03-19_23-42-08.pkl,EA,CartPole-v1,static,1,10,2,1,-14497.0,"[64, 32]",50,100,-282.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-0_time-2025-03-19_23-42-12.pkl,EA,CartPole-v1,static,0,10,2,1,-17715.0,"[64, 32]",50,100,-275.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-1_time-2025-03-19_23-42-18.pkl,EA,CartPole-v1,static,1,10,2,1,-14497.0,"[64, 32]",50,100,-282.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-0_time-2025-03-19_23-42-21.pkl,EA,CartPole-v1,static,0,10,2,1,-17715.0,"[64, 32]",50,100,-275.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-1_time-2025-03-19_23-42-27.pkl,EA,CartPole-v1,static,1,10,2,1,-14497.0,"[64, 32]",50,100,-282.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-0_time-2025-03-19_23-42-30.pkl,EA,CartPole-v1,static,0,10,2,1,-17715.0,"[64, 32]",50,100,-275.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-1_time-2025-03-19_23-42-36.pkl,EA,CartPole-v1,static,1,10,2,1,-14497.0,"[64, 32]",50,100,-282.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-0_time-2025-03-19_23-42-39.pkl,EA,CartPole-v1,static,0,10,2,1,-17715.0,"[64, 32]",50,100,-275.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-1_time-2025-03-19_23-42-44.pkl,EA,CartPole-v1,static,1,10,2,1,-14497.0,"[64, 32]",50,100,-282.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-0_time-2025-03-19_23-42-48.pkl,EA,CartPole-v1,static,0,10,2,1,-17715.0,"[64, 32]",50,100,-275.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-1_time-2025-03-19_23-42-53.pkl,EA,CartPole-v1,static,1,10,2,1,-14497.0,"[64, 32]",50,100,-282.0,3.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-0_time-2025-03-19_23-46-39.pkl,EA,CartPole-v1,static,0,10,2,1,-17715.0,"[64, 32]",50,100,-12497.0,100.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-1_time-2025-03-19_23-46-45.pkl,EA,CartPole-v1,static,1,10,2,1,-14497.0,"[64, 32]",50,100,-7670.0,100.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_abcd_seed-0_time-2025-03-19_23-47-22.pkl,EA,CartPole-v1,abcd,0,10,2,1,-37327.0,"[64, 32]",50,100,-37932.0,100.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_abcd_seed-1_time-2025-03-19_23-48-15.pkl,EA,CartPole-v1,abcd,1,10,2,1,-35797.0,"[64, 32]",50,100,-33732.0,100.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_MountainCar-v0_static_seed-0_time-2025-03-19_23-49-29.pkl,EA,MountainCar-v0,static,0,10,2,1,48247.0,"[64, 32]",50,100,50000.0,100.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_MountainCar-v0_static_seed-1_time-2025-03-19_23-50-40.pkl,EA,MountainCar-v0,static,1,10,2,1,31557.0,"[64, 32]",50,100,50000.0,100.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-0_time-2025-03-20_00-15-22.pkl,EA,CartPole-v1,static,0,100,1000,12,-50000.0,"[64, 32]",50,100,-48744.0,100.0,,,
Experiments/Results/exp4_march_ea/exp4_output_ea_CartPole-v1_static_seed-1_time-2025-03-20_00-39-53.pkl,EA,CartPole-v1,static,1,100,1000,15,-50000.0,"[64, 32]",50,100,-41435.0,100.0,,,
